Quarter,Community Drinking Water Systems,Atrazine-System Means (mcg/L),Population Served
2003 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"37,290"
2003 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"37,290"
2004 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"37,290"
2004 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"37,290"
2004 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.1,"37,290"
2004 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2005 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2005 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2005 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2005 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2006 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2006 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2006 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2006 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2007 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2007 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.05,"37,290"
2007 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.03,"37,290"
2007 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.03,"37,290"
2008 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.03,"37,290"
2008 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.03,"37,290"
2008 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.03,"37,290"
