year,aqi,type,site
1988,42.04081632653061,gas,48109
1989,52.35535307517084,gas,48109
1990,43.05,gas,48109
1991,45.778195488721806,gas,48109
1992,49.48254620123203,gas,48109
2019,45.12264150943396,gas,48109
2020,58.55128205128205,gas,48109
2021,50.9520697167756,gas,48109
2022,65.9074074074074,gas,48109
1988,25.625,particle,48109
1989,27.244897959183675,particle,48109
1990,29.976190476190474,particle,48109
1991,22.18867924528302,particle,48109
1992,22.4,particle,48109
1993,22.3,particle,48109
1994,27.864864864864863,particle,48109
1995,24.576923076923077,particle,48109
1996,25.408163265306122,particle,48109
1997,27.306122448979593,particle,48109
1998,27.019607843137255,particle,48109
1999,26.86,particle,48109
2000,25.893617021276597,particle,48109
2001,27.381818181818183,particle,48109
2002,26.396551724137932,particle,48109
2003,25.64,particle,48109
2004,20.46153846153846,particle,48109
2005,22.203703703703702,particle,48109
2006,20.10169491525424,particle,48109
2007,21.732142857142858,particle,48109
2008,22.229508196721312,particle,48109
2009,19.054545454545455,particle,48109
2010,16.145454545454545,particle,48109
2011,27.589285714285715,particle,48109
2012,24.64406779661017,particle,48109
2013,24.789473684210527,particle,48109
2014,24.03448275862069,particle,48109
2015,22.0,particle,48109
2016,18.267857142857142,particle,48109
2017,19.586206896551722,particle,48109
2018,26.285714285714285,particle,48109
2019,20.25,particle,48109
2020,25.771929824561404,particle,48109
2021,23.52542372881356,particle,48109
2022,22.454545454545453,particle,48109
1988,41.72702555736814,gas,35013
1989,47.77098540145985,gas,35013
1990,45.48773841961853,gas,35013
1991,46.14492753623188,gas,35013
1992,45.4715821812596,gas,35013
1993,40.89294848374132,gas,35013
1994,43.057670979667286,gas,35013
1995,41.3134328358209,gas,35013
1996,40.173755953358516,gas,35013
1997,39.20915800067092,gas,35013
1998,40.25831325301205,gas,35013
1999,36.98427178357974,gas,35013
2000,38.82694704049844,gas,35013
2001,36.11467741935484,gas,35013
2002,38.56267782426778,gas,35013
2003,42.57690713101161,gas,35013
2004,38.969930238152514,gas,35013
2005,39.60982025427444,gas,35013
2006,41.82601809954751,gas,35013
2007,42.02817252555472,gas,35013
2008,41.33839918946302,gas,35013
2009,39.75056123721626,gas,35013
2010,41.397131552917905,gas,35013
2011,47.13201663201663,gas,35013
2012,49.42961287078934,gas,35013
2013,45.51529588766299,gas,35013
2014,40.99189873417721,gas,35013
2015,44.69953180941889,gas,35013
2016,43.577992058990354,gas,35013
2017,46.08009153318078,gas,35013
2018,48.40760869565217,gas,35013
2019,45.180701754385964,gas,35013
2020,45.966523605150215,gas,35013
2021,47.022139160437035,gas,35013
2022,45.74603632170654,gas,35013
2023,44.04780114722753,gas,35013
1988,45.065934065934066,particle,35013
1989,41.40094339622642,particle,35013
1990,34.2312925170068,particle,35013
1991,30.590604026845636,particle,35013
1992,31.230263157894736,particle,35013
1993,29.717607973421927,particle,35013
1994,36.3312693498452,particle,35013
1995,43.88095238095238,particle,35013
1996,34.68092820884699,particle,35013
1997,30.126545454545454,particle,35013
1998,33.29989969909729,particle,35013
1999,35.23994546693933,particle,35013
2000,30.020538243626063,particle,35013
2001,32.895579268292686,particle,35013
2002,35.509655172413794,particle,35013
2003,35.978240302743615,particle,35013
2004,31.31128074639525,particle,35013
2005,29.944927536231884,particle,35013
2006,30.700961940610622,particle,35013
2007,30.711302618495193,particle,35013
2008,35.677645623665754,particle,35013
2009,27.64620711362921,particle,35013
2010,27.684475172847264,particle,35013
2011,31.58282208588957,particle,35013
2012,28.653225806451612,particle,35013
2013,31.108255877528705,particle,35013
2014,26.622420524261017,particle,35013
2015,29.264689730917077,particle,35013
2016,29.946831755280407,particle,35013
2017,26.413498836307216,particle,35013
2018,25.93147607279263,particle,35013
2019,27.21142972536349,particle,35013
2020,34.05522961764111,particle,35013
2021,31.054841301727603,particle,35013
2022,24.690230341540907,particle,35013
2023,28.407813570939,particle,35013
